TRAIN Number	Fort Worth T&P Station	Fort Worth Central Station	Richland Hills	Bell	CentrePort/ DFW Airport	West Irving	Downtown Irving/ Heritage Crossing	Medical/ Market Center	Victory Station @ AA Center	EBJ Union Station
3500	--:--	--:--	--:--	--:--	--:--	05:25	05:31	05:40	05:45	05:54
3902	05:48	05:52	06:03	06:12	06:19	06:25	06:31	06:40	06:45	06:54
3904	06:48	06:52	07:03	07:12	07:19	07:25	07:31	07:40	07:45	07:54
3906	07:48	07:52	08:03	08:12	08:19	08:25	08:31	08:40	08:45	08:54
3908	08:48	08:52	09:03	09:12	09:19	09:25	09:31	09:40	09:45	09:54
3910	09:48	09:52	10:03	10:12	10:19	10:25	10:31	10:40	10:45	10:54
3912	10:48	10:52	11:03	11:12	11:19	11:25	11:31	11:40	11:45	11:54
3914	11:48	11:52	12:03	12:12	12:19	12:25	12:31	12:40	12:45	12:54
3916	12:48	12:52	13:03	13:12	13:19	13:25	13:31	13:40	13:45	13:54
3918	13:48	13:52	14:03	14:12	14:19	14:25	14:31	14:40	14:45	14:54
3920	14:48	14:52	15:03	15:12	15:19	15:25	15:31	15:40	15:45	15:54
3922	15:48	15:52	16:03	16:12	16:19	16:25	16:31	16:40	16:45	16:54
3924	16:48	16:52	17:03	17:12	17:19	17:25	17:31	17:40	17:45	17:54
3926	17:48	17:52	18:03	18:12	18:19	18:25	18:31	18:40	18:45	18:54
3928	18:48	18:52	19:03	19:12	19:19	19:25	19:31	19:40	19:45	19:54
3930	19:48	19:52	20:03	20:12	20:19	20:25	20:31	20:40	20:45	20:54
3932	20:48	20:52	21:03	21:12	21:19	21:25	21:31	21:40	21:45	21:54
3934	21:48	21:52	22:03	22:12	22:19	22:25	22:31	22:40	22:45	22:54
3936	22:48	22:52	23:03	23:12	23:19	23:25	23:31	23:40	23:45	23:54
3138	23:48	23:52	00:03#	00:12#	00:22#	--:--	--:--	--:--	--:--	--:--
3140	00:48#	00:52#	01:03#	01:12#	01:22#	--:--	--:--	--:--	--:--	--:--
