TRAIN Number	Fort Worth T&P	Fort Worth Central	North Side	Mercantile Center	Iron Horse	Smithfield	Grapevine	DFW Airport North	DFW Airport Terminal B
110	--:--	--:--	--:--	03:31	03:37	03:42	03:56	04:00	04:06
212	03:43	03:47	03:55	04:01	04:07	04:12	04:26	04:30	04:36
114	--:--	--:--	--:--	04:31	04:37	04:42	04:56	05:00	05:06
216	04:43	04:47	04:55	05:01	05:07	05:12	05:26	05:30	05:36
218	05:13	05:17	05:25	05:31	05:37	05:42	05:56	06:00	06:06
220	05:43	05:47	05:55	06:01	06:07	06:12	06:26	06:30	06:36
222	06:13	06:17	06:25	06:31	06:37	06:42	06:56	07:00	07:06
224	06:43	06:47	06:55	07:01	07:07	07:12	07:26	07:30	07:36
226	07:13	07:17	07:25	07:31	07:37	07:42	07:56	08:00	08:06
228	07:43	07:47	07:55	08:01	08:07	08:12	08:26	08:30	08:36
230	08:13	08:17	08:25	08:31	08:37	08:42	08:56	09:00	09:06
232	08:43	08:47	08:55	09:01	09:07	09:12	09:26	09:30	09:36
134	09:13	09:17	09:25	--:--	--:--	--:--	--:--	--:--	--:--
236	09:43	09:47	09:55	10:01	10:07	10:12	10:26	10:30	10:36
138	10:13	10:17	10:25	--:--	--:--	--:--	--:--	--:--	--:--
240	10:43	10:47	10:55	11:01	11:07	11:12	11:26	11:30	11:36
242	11:43	11:47	11:55	12:01	12:07	12:12	12:26	12:30	12:36
244	12:43	12:47	12:55	13:01	13:07	13:12	13:26	13:30	13:36
246	13:43	13:47	13:55	14:01	14:07	14:12	14:26	14:30	14:36
148	--:--	--:--	--:--	14:31	14:37	14:42	14:56	15:00	15:06
250	14:43	14:47	14:55	15:01	15:07	15:12	15:26	15:30	15:36
152	--:--	--:--	--:--	15:31	15:37	15:42	15:56	16:00	16:06
254	15:43	15:47	15:55	16:01	16:07	16:12	16:26	16:30	16:36
256	16:13	16:17	16:25	16:31	16:37	16:42	16:56	17:00	17:06
258	16:43	16:47	16:55	17:01	17:07	17:12	17:26	17:30	17:36
260	17:13	17:17	17:25	17:31	17:37	17:42	17:56	18:00	18:06
262	17:43	17:47	17:55	18:01	18:07	18:12	18:26	18:30	18:36
264	18:13	18:17	18:25	18:31	18:37	18:42	18:56	19:00	19:06
266	18:43	18:47	18:55	19:01	19:07	19:12	19:26	19:30	19:36
168	19:13	19:17	19:25	--:--	--:--	--:--	--:--	--:--	--:--
270	19:43	19:47	19:55	20:01	20:07	20:12	20:26	20:30	20:36
XXX	20:13	20:17	20:25	--:--	--:--	--:--	--:--	--:--	--:--
272	20:43	20:47	20:55	21:01	21:07	21:12	21:26	21:30	21:36
274	21:43	21:47	21:55	22:01	22:07	22:12	22:26	22:30	22:36
276	22:43	22:47	22:55	23:01	23:07	23:12	23:26	23:30	23:36
278	23:43	23:47	23:55	00:01#	00:07#	00:12#	00:26#	00:30#	00:36#
280	00:43#	00:47#	00:55#	01:01#	01:07#	01:12#	01:26#	01:30#	01:36#
182	01:43#	01:47#	01:55#	--:--	--:--	--:--	--:--	--:--	--:--
