TRAIN Number	EBJ Union Station	Victory Station @ AA Center	Medical/ Market Center	Downtown Irving/ Heritage Crossing	West Irving	CentrePort/ DFW Airport	Bell	Richland Hills	Fort Worth Central Station	Fort Worth T&P Station
3101	--:--	--:--	--:--	--:--	--:--	04:46	04:53	05:02	05:16	05:21
3103	--:--	--:--	--:--	--:--	--:--	05:46	05:53	06:02	06:16	06:21
3905	06:15	06:20	06:25	06:34	06:40	06:46	06:53	07:02	07:16	07:21
3907	07:15	07:20	07:25	07:34	07:40	07:46	07:53	08:02	08:16	08:21
3909	08:15	08:20	08:25	08:34	08:40	08:46	08:53	09:02	09:16	09:21
3911	09:15	09:20	09:25	09:34	09:40	09:46	09:53	10:02	10:16	10:21
3913	10:15	10:20	10:25	10:34	10:40	10:46	10:53	11:02	11:16	11:21
3915	11:15	11:20	11:25	11:34	11:40	11:46	11:53	12:02	12:16	12:21
3917	12:15	12:20	12:25	12:34	12:40	12:46	12:53	13:02	13:16	13:21
3919	13:15	13:20	13:25	13:34	13:40	13:46	13:53	14:02	14:16	14:21
3921	14:15	14:20	14:25	14:34	14:40	14:46	14:53	15:02	15:16	15:21
3923	15:15	15:20	15:25	15:34	15:40	15:46	15:53	16:02	16:16	16:21
3925	16:15	16:20	16:25	16:34	16:40	16:46	16:53	17:02	17:16	17:21
3927	17:15	17:20	17:25	17:34	17:40	17:46	17:53	18:02	18:16	18:21
3929	18:15	18:20	18:25	18:34	18:40	18:46	18:53	19:02	19:16	19:21
3931	19:15	19:20	19:25	19:34	19:40	19:46	19:53	20:02	20:16	20:21
3933	20:15	20:20	20:25	20:34	20:40	20:46	20:53	21:02	21:16	21:21
3935	21:15	21:20	21:25	21:34	21:40	21:46	21:53	22:02	22:16	22:21
3937	22:15	22:20	22:25	22:34	22:40	22:46	22:53	23:02	23:16	23:21
3939	23:15	23:20	23:25	23:34	23:40	23:46	23:53	00:02#	00:16#	00:21#
3541	00:15#	00:20#	00:25#	00:34#	00:43#	--:--	--:--	--:--	--:--	--:--
